,closing_1,closing_2,id,latitude,longitude,opening_1,opening_2
358,0:00 am,0,the-golden-west-san-francisco,37.7901307,-122.4026048,0:00 am,0
359,10:00 pm,0,hog-island-oyster-co-san-francisco,37.7954575817651,-122.393317222595,11:00 am,0
360,0:00 am,0,dus-sandwich-san-francisco,37.7906930175004,-122.400562652988,0:00 am,0
361,2:30 pm,10:00 pm,aperto-restaurant-san-francisco-3,37.7626007795334,-122.396924123168,11:00 am,5:30 pm
362,11:00 pm,0,fresh-and-easy-san-francisco-5,37.7314636495829,-122.408246397972,6:00 am,0
363,3:00 pm,10:00 pm,pera-san-francisco,37.762484,-122.397089,10:00 am,5:00 pm
364,10:30 pm,0,gialina-pizzeria-san-francisco,37.734033241868,-122.434055283666,5:00 pm,0
365,10:30 pm,0,blackwood-san-francisco-3,37.800591,-122.438832,9:00 am,0
366,3:00 pm,10:00 pm,sqwers-izakaya-and-sushi-bar-san-francisco-2,37.7819297,-122.4512143,11:00 am,5:00 pm
367,4:00 pm,0,front-cafe-san-francisco,37.764608,-122.394973,8:00 am,0
368,8:00 pm,0,buyers-best-friend-wholesale-and-mercantile-san-francisco,37.7695511,-122.4506591,11:00 am,0
369,10:00 pm,0,cafe-du-soleil-san-francisco,37.77135,-122.430086,7:00 am,0
370,11:00 pm,0,pizzeria-delfina-san-francisco-3,37.7890022,-122.4343326,11:30 am,0
371,9:30 pm,0,henrys-hunan-restaurant-san-francisco-7,37.7996560010964,-122.407288671123,11:00 am,0
372,2:00 am,0,rumors-san-francisco-4,37.7754681,-122.4066365,3:00 pm,0
373,10:00 pm,0,velo-rouge-cafe-san-francisco,37.7753311381057,-122.458363873016,8:00 am,0
374,10:30 pm,0,mason-pacific-san-francisco,37.796661,-122.411581,5:30 pm,0
375,5:00 pm,0,turtle-tower-san-francisco-6,37.7839535,-122.4178971,8:00 am,0
376,2:00 am,0,dr-teeth-and-the-electric-mayhem-san-francisco,37.7598640742271,-122.419043978989,10:00 am,0
377,10:00 pm,0,ppq-dungeness-island-san-francisco-2,37.7823219299316,-122.484443664551,12:00 pm,0
378,7:00 pm,0,publico-urban-taqueria-san-francisco,37.7710266113281,-122.40731048584,11:00 am,0
379,9:00 pm,0,marina-supermarket-san-francisco,37.800046310035,-122.44151908535,7:00 am,0
380,6:00 pm,0,arizmendi-bakery-san-francisco,37.7633882,-122.4664991,7:30 am,0
381,10:00 pm,0,unicorn-san-francisco,37.7922425419092,-122.399523183703,5:00 pm,0
382,,,tanguito-san-francisco,37.807614,-122.417203,,
383,2:45 pm,0,griddle-fresh-san-francisco,37.751351,-122.432183,8:00 am,0
384,10:00 pm,0,mandalay-san-francisco,37.7851051837206,-122.4640417099,11:30 am,0
385,9:30 pm,0,r-and-g-lounge-san-francisco,37.7941177403554,-122.404610176842,11:00 am,0
386,0:00 am,0,upper-haight-farmers-market-san-francisco-2,37.7681767018445,-122.453467211731,0:00 am,0
387,10:00 pm,0,la-fusión-san-francisco-2,37.7916357455614,-122.403691572642,5:00 pm,0
388,9:00 pm,0,mission-public-san-francisco,37.768286,-122.4186664,10:00 am,0
389,3:00 pm,10:00 pm,sushi-house-san-bruno,37.626067,-122.411154,11:30 am,4:30 pm
390,3:00 pm,9:30 pm,valencia-pizza-and-pasta-san-francisco,37.7600196719307,-122.421308755875,9:00 am,5:00 pm
391,8:00 pm,0,tyler-florence-rotisserie-san-francisco,37.6166790063486,-122.386150360107,11:00 am,0
392,11:30 pm,0,emmys-spaghetti-shack-san-francisco,37.74294926413,-122.42125122755,5:30 pm,0
393,2:30 pm,10:00 pm,fable-san-francisco,37.7600032,-122.434921,11:00 am,5:00 pm
394,12:00 am,0,jang-soo-bbq-san-francisco,37.780196,-122.487262,11:00 am,0
395,8:30 pm,0,cafe-la-flore-san-francisco-3,37.7827709595657,-122.470544639881,7:30 am,0
