,category,id,latitude,longitude
170,Mediterranean,truly-mediterranean-san-francisco,37.7647859386,-122.422329609
171,American (Traditional),chambers-san-francisco-3,37.7831646,-122.4179174
172,Mexican,el-castillito-taqueria-san-francisco,37.7819595337,-122.414733887
173,Mexican,la-corneta-taqueria-san-francisco-2,37.73423,-122.43395
174,Grocery,island-cove-market-san-francisco,37.8197661064,-122.372924712
175,American (New),serpentine-san-francisco,37.7581002719,-122.388188765
176,Burgers,super-duper-burgers-san-francisco-3,37.786856,-122.403905
177,Coffee & Tea,starbucks-san-francisco-223,37.782112808,-122.447186722
178,Lounges,azucar-lounge-san-francisco-4,37.77392,-122.411618
179,Vietnamese,americana-grill-and-fountain-san-francisco,37.7790723153,-122.491082306
180,Bakeries,thorough-bread-and-pastry-san-francisco,37.7665123809,-122.429034859
181,Thai,kin-khao-san-francisco-2,37.7749295,-122.4194155
182,Tapas/Small Plates,state-bird-provisions-san-francisco,37.78374,-122.433005
183,Japanese,bento-house-san-francisco,37.7819100022,-122.417187542
184,Sandwiches,proper-food-san-francisco-5,37.7891326715,-122.397968557
185,American (New),hillside-supper-club-san-francisco-2,37.746548982,-122.41361618
186,Grocery,golden-gate-market-and-produce-san-francisco,37.7832816,-122.4142226
187,Hot Dogs,underdog-san-francisco,37.763777,-122.475704
188,Specialty Food,bi-rite-market-san-francisco,37.761379429,-122.424692945
189,Southern,hops-and-hominy-san-francisco,37.789438,-122.40572
190,British,the-codmother-fish-and-chips-san-francisco,37.8074698812,-122.417274714
191,Seafood,fog-harbor-fish-house-san-francisco-2,37.809021,-122.410251
192,Mexican,nicks-crispy-tacos-san-francisco,37.7962118822,-122.421844947
193,Mexican,andale-mexican-bar-and-restaurant-san-francisco,37.6167130001,-122.384154797
194,Latin American,el-zocalo-san-francisco,37.74503,-122.420465
195,Farmers Market,inner-sunset-farmers-market-san-francisco,37.7635650755,-122.466176748
196,Pizza,the-pizza-shop-san-francisco,37.7525918579,-122.41455421
197,Sushi Bars,saru-sushi-bar-san-francisco,37.751706,-122.4288283
198,Peruvian,sanguchón-peruvian-food-truck-san-francisco-2,37.7648797155,-122.400634289
199,Mexican,padrecito-san-francisco,37.7656775,-122.4500746
200,Breakfast & Brunch,mamas-on-washington-square-san-francisco,37.801606,-122.409599
201,Dim Sum,all-season-restaurant-san-francisco-2,37.7443563938,-122.439205125
202,Cafes,vce-cafe-san-francisco-2,37.797476,-122.399089
203,Seafood,skool-san-francisco,37.7685096967,-122.402136326
204,Vegetarian,the-plant-cafe-organic-san-francisco-4,37.7979458226,-122.396012843
205,Department Stores,target-san-bruno,37.6362117533,-122.416702375
206,Vietnamese,tín-vietnamese-cuisine-san-francisco-3,37.780772,-122.40568
207,Delis,kleins-deli-san-francisco-3,37.6182427028,-122.386407852
208,Chinese,mission-chinese-food-san-francisco-4,37.7609696532,-122.419323921
